n	section	kind	id	table	row	col	rowLabel	cellText	colHeader	items	placeholder
298	11	TEXT	359553418	11	4	None	Click to enter text.				Click to enter text.
299	11	TEXT	-840241852	11	4	None	Click to enter text.				Click to enter text.
300	11	TEXT	1415970088	11	4	None	Click to enter text.				Click to enter text.
301	11	COMBO	-1396739875	11	4	7	Click to enter text.			Certified Previous (Y/N)/Yes/No	Click here to answer Y/N.
302	11	COMBO	42186393	11	4	8	Click to enter text.			Certified Previous (Y/N)/Yes/No	Click here to answer Y/N.
303	11	TEXT	-583532844	11	5	None	Click to enter text.				Click to enter text.
304	11	TEXT	1438874392	11	5	None	Click to enter text.				Click to enter text.
305	11	TEXT	-1812698890	11	5	None	Click to enter text.				Click to enter text.
306	11	TEXT	1004242597	11	5	None	Click to enter text.				Click to enter text.
307	11	TEXT	1269586643	11	5	None	Click to enter text.				Click to enter text.
308	11	TEXT	1162585537	11	5	None	Click to enter text.				Click to enter text.
309	11	COMBO	-1658141827	11	5	7	Click to enter text.			Certified Previous (Y/N)/Yes/No	Click here to answer Y/N.
310	11	COMBO	-1565023326	11	5	8	Click to enter text.			Certified Previous (Y/N)/Yes/No	Click here to answer Y/N.
311	11	TEXT	445895947	11	6	None	Click to enter text.				Click to enter text.
312	11	TEXT	1740357705	11	6	None	Click to enter text.				Click to enter text.
313	11	TEXT	-1012527877	11	6	None	Click to enter text.				Click to enter text.
314	11	TEXT	131527964	11	6	None	Click to enter text.				Click to enter text.
315	11	TEXT	-93781395	11	6	None	Click to enter text.				Click to enter text.
316	11	TEXT	2109539691	11	6	None	Click to enter text.				Click to enter text.
317	11	COMBO	-1945369700	11	6	7	Click to enter text.			Certified Previous (Y/N)/Yes/No	Click here to answer Y/N.
318	11	COMBO	-1260440767	11	6	8	Click to enter text.			Certified Previous (Y/N)/Yes/No	Click here to answer Y/N.
319	12	TEXT	-341545127	12	4	None	Click here to enter text.				Click here to enter text.
320	12	TEXT	156420379	12	4	None	Click here to enter text.				Click here to enter text.
321	12	TEXT	1954365130	12	4	None	Click here to enter text.				Click here to enter text.
322	12	TEXT	639691752	12	4	None	Click here to enter text.				Click here to enter text.
323	12	TEXT	-1203471375	12	4	None	Click here to enter text.				Click here to enter text.
324	12	TEXT	1388224106	12	4	None	Click here to enter text.				Click here to enter text.
325	12	TEXT	-1719744927	12	4	None	Click here to enter text.				Click here to enter text.
326	12	COMBO	966625039	12	4	8	Click here to enter text.			Certified Previous (Y/N)/Yes/No	Click here to answer Y/N.
327	12	TEXT	-1047131008	12	5	None	Click here to enter text.				Click here to enter text.
328	12	TEXT	-960189845	12	5	None	Click here to enter text.				Click here to enter text.
329	12	TEXT	1042952408	12	5	None	Click here to enter text.				Click here to enter text.
330	12	TEXT	651113490	12	5	None	Click here to enter text.				Click here to enter text.
331	12	TEXT	-1475203747	12	5	None	Click here to enter text.				Click here to enter text.
332	12	TEXT	1561291402	12	5	None	Click here to enter text.				Click here to enter text.
333	12	TEXT	-1776778725	12	5	None	Click here to enter text.				Click here to enter text.
334	12	COMBO	26233124	12	5	8	Click here to enter text.			Certified Previous (Y/N)/Yes/No	Click here to answer Y/N.
335	12	TEXT	-733773600	12	6	None	Click here to enter text.				Click here to enter text.
336	12	TEXT	1899467590	12	6	None	Click here to enter text.				Click here to enter text.
337	12	TEXT	1344357804	12	6	None	Click here to enter text.				Click here to enter text.
338	12	TEXT	860544340	12	6	None	Click here to enter text.				Click here to enter text.
339	12	TEXT	-625920858	12	6	None	Click here to enter text.				Click here to enter text.
340	12	TEXT	-735398212	12	6	None	Click here to enter text.				Click here to enter text.
341	12	TEXT	-1425567563	12	6	None	Click here to enter text.				Click here to enter text.
342	12	COMBO	-1785260431	12	6	8	Click here to enter text.			Certified Previous (Y/N)/Yes/No	Click here to answer Y/N.
